Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1103,551.524,0.7088263,4.0927784,577.972,1155.944,2011_nk_225,Nush,2011,0.709135483333333,4.07278262333333,-0.00282115333333355,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1104,552.048,0.7090281,4.0563458,578.496,1156.992,2011_nk_225,Nush,2011,0.709137101666666,4.06970490166666,-0.00307772166666709,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1105,552.524,0.7091014,4.0666556,579.02,1158.04,2011_nk_225,Nush,2011,0.709138453333333,4.06466623666666,-0.00503866499999983,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1106,553.048,0.7089201,4.0414651,579.544,1159.088,2011_nk_225,Nush,2011,0.709136083333333,4.06071512666667,-0.00395110999999915,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1107,553.524,0.709101,4.0005856,580.068,1160.136,2011_nk_225,Nush,2011,0.709138741666666,4.05658083833333,-0.00413428833333374,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1108,554.048,0.7091588,4.0819086,580.592,1161.184,2011_nk_225,Nush,2011,0.709131111666666,4.05288705166666,-0.00369378666666709,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1109,554.524,0.7088871,4.0921268,581.116,1162.232,2011_nk_225,Nush,2011,0.709141176666666,4.049633595,-0.00325345666666621,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1110,555.048,0.7091776,4.0502877,581.64,1163.28,2011_nk_225,Nush,2011,0.709146356666666,4.04410843833333,-0.00552515666666586,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1111,555.524,0.7093173,4.0293202,582.164,1164.328,2011_nk_225,Nush,2011,0.709139813333333,4.037810715,-0.00629772333333367,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1112,556.048,0.7093112,4.003227,582.688,1165.376,2011_nk_225,Nush,2011,0.709144178333333,4.033711185,-0.00409953000000041,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1113,556.524,0.7093407,3.9851362,583.212,1166.424,2011_nk_225,Nush,2011,0.70914639,4.02708958333333,-0.0066216016666667,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1114,557.048,0.7093395,4.0492341,583.736,1167.472,2011_nk_225,Nush,2011,0.709145506666666,4.02104443166667,-0.00604515166666619,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1115,557.524,0.7090631,4.0350648,584.26,1168.52,2011_nk_225,Nush,2011,0.709142225,4.01581316,-0.00523127166666715,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1116,558.048,0.7089125,3.9897516,584.784,1169.568,2011_nk_225,Nush,2011,0.709150331666666,4.00868700166667,-0.00712615833333263,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1117,558.524,0.7093684,4.0121543,585.308,1170.616,2011_nk_225,Nush,2011,0.709148426666666,4.00210257333333,-0.00658442833333339,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1118,559.048,0.7093243,4.0229312,585.832,1171.664,2011_nk_225,Nush,2011,0.709151326666666,3.99618355666667,-0.00591901666666717,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1119,559.524,0.7088121,4.0097342,586.356,1172.712,2011_nk_225,Nush,2011,0.709150596666666,3.98980811833333,-0.00637543833333343,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1120,560.048,0.7093637,4.003272,586.88,1173.76,2011_nk_225,Nush,2011,0.70913757,3.98387709333333,-0.00593102499999976,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1121,560.524,0.7091896,3.9926647,587.404,1174.808,2011_nk_225,Nush,2011,0.709149003333333,3.97642269833333,-0.00745439500000034,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1122,561.048,0.7094332,3.9823166,587.928,1175.856,2011_nk_225,Nush,2011,0.709151248333333,3.96871239833333,-0.00771029999999984,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1123,561.524,0.7095752,4.0090286,588.452,1176.904,2011_nk_225,Nush,2011,0.709153913333333,3.96242246333333,-0.00628993499999986,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1124,562.048,0.7087639,4.055797,588.976,1177.952,2011_nk_225,Nush,2011,0.70916235,3.95560685333333,-0.0068156100000003,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1125,562.524,0.709012,4.0489952,589.5,1179,2011_nk_225,Nush,2011,0.709161646666666,3.94807474666667,-0.00753210666666648,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
